filePath1,filePath2,file1,file2,outFile
./,../expected/linux/,nmScatterPlot1.png,nmScatterPlot1.png,_nmScatterPlot1.png
./,../expected/linux/,nmScatterPlot2.png,nmScatterPlot2.png,_nmScatterPlot2.png
./,../expected/linux/,nmScatterPlot3.png,nmScatterPlot3.png,_nmScatterPlot3.png
./,../expected/linux/,nmScatterPlot4.png,nmScatterPlot4.png,_nmScatterPlot4.png
./,../expected/linux/,nmScatterPlot5.png,nmScatterPlot5.png,_nmScatterPlot5.png
./,../expected/linux/,nmScatterPlot6.png,nmScatterPlot6.png,_nmScatterPlot6.png
./,../expected/linux/,nmScatterPlot7.png,nmScatterPlot7.png,_nmScatterPlot7.png
./,../expected/linux/,nmScatterPlot8.png,nmScatterPlot8.png,_nmScatterPlot8.png
./,../expected/linux/,nmScatterPlot9.png,nmScatterPlot9.png,_nmScatterPlot9.png
./,../expected/linux/,nmScatterPlot10.png,nmScatterPlot10.png,_nmScatterPlot10.png
./,../expected/linux/,nmScatterPlot11.png,nmScatterPlot11.png,_nmScatterPlot11.png
./,../expected/linux/,nmScatterPlot12.png,nmScatterPlot12.png,_nmScatterPlot12.png
./,../expected/linux/,nmScatterPlot13.png,nmScatterPlot13.png,_nmScatterPlot13.png
./,../expected/linux/,nmScatterPlot14.png,nmScatterPlot14.png,_nmScatterPlot14.png
./,../expected/linux/,nmScatterPlot15.png,nmScatterPlot15.png,_nmScatterPlot15.png
./,../expected/linux/,nmScatterPlot16.png,nmScatterPlot16.png,_nmScatterPlot16.png
./,../expected/linux/,nmQQNorm1.png,nmQQNorm1.png,_nmQQNorm1.png
./,../expected/linux/,nmQQNorm2.png,nmQQNorm2.png,_nmQQNorm2.png
./,../expected/linux/,nmQQNorm3.png,nmQQNorm3.png,_nmQQNorm3.png
./,../expected/linux/,nmQQNorm4.png,nmQQNorm4.png,_nmQQNorm4.png
./,../expected/linux/,nmQQNorm5.png,nmQQNorm5.png,_nmQQNorm5.png
./,../expected/linux/,nmQQNorm6.png,nmQQNorm6.png,_nmQQNorm6.png
./,../expected/linux/,nmQQNorm7.png,nmQQNorm7.png,_nmQQNorm7.png
./,../expected/linux/,nmQQNorm8.png,nmQQNorm8.png,_nmQQNorm8.png
./,../expected/linux/,nmBoxPlot1.png,nmBoxPlot1.png,_nmBoxPlot1.png
./,../expected/linux/,nmBoxPlot2.png,nmBoxPlot2.png,_nmBoxPlot2.png
./,../expected/linux/,nmBoxPlot3.png,nmBoxPlot3.png,_nmBoxPlot3.png
./,../expected/linux/,nmBoxPlot4.png,nmBoxPlot4.png,_nmBoxPlot4.png
./,../expected/linux/,nmBoxPlot5.png,nmBoxPlot5.png,_nmBoxPlot5.png
./,../expected/linux/,nmScatterMatrix1.png,nmScatterMatrix1.png,_nmScatterMatrix1.png
./,../expected/linux/,nmScatterMatrix2.png,nmScatterMatrix2.png,_nmScatterMatrix2.png
./,../expected/linux/,nmScatterMatrix3.png,nmScatterMatrix3.png,_nmScatterMatrix3.png
./,../expected/linux/,nmScatterMatrix4.png,nmScatterMatrix4.png,_nmScatterMatrix4.png
./,../expected/linux/,nmHistogram1.png,nmHistogram1.png,_nmHistogram1.png
./,../expected/linux/,nmHistogram2.png,nmHistogram2.png,_nmHistogram2.png
./,../expected/linux/,nmHistogram3.png,nmHistogram3.png,_nmHistogram3.png
./,../expected/linux/,nmHistogram4.png,nmHistogram4.png,_nmHistogram4.png
./,../expected/linux/,nmACPlot1.png,nmACPlot1.png,_nmACPlot1.png
./,../expected/linux/,nmBarChart1.png,nmBarChart1.png,_nmBarChart1.png
./,../expected/linux/,nmBarChart2.png,nmBarChart2.png,_nmBarChart2.png
./,../expected/linux/,nmBoxPlot1.png,nmBoxPlot1.png,_nmBoxPlot1.png
./,../expected/linux/,nmBoxPlot2.png,nmBoxPlot2.png,_nmBoxPlot2.png
./,../expected/linux/,nmBoxPlot3.png,nmBoxPlot3.png,_nmBoxPlot3.png
./,../expected/linux/,nmBoxPlot4.png,nmBoxPlot4.png,_nmBoxPlot4.png
./,../expected/linux/,nmBoxPlot5.png,nmBoxPlot5.png,_nmBoxPlot5.png
